PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,INSTRS,CYCLES,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
454,AssetCacheManage,0.0,00:00.03,2,1,26,2401K,0B,2096K,454,1,sleeping,0[1],0.00000,0.00000,0,466,49,77,30,472,177,235,7,0,0.0,0,0,root,N/A,N/A,N/A,N/A,N/A,N/A
453,com.apple.audio.,0.0,00:00.00,2,1,15,1649K,0B,1440K,453,1,sleeping,0[1],0.00000,0.00000,0,386,58,64,30,494,130,36,0,0,0.0,0,0,root,N/A,N/A,N/A,N/A,N/A,N/A
451,triald,0.0,00:00.21,2,1,67,4162K,64K,1824K,451,1,sleeping,0[41],0.00000,0.00000,502,1449,89,768,212,4526,1674,2207,98,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
448,colorsync.userag,0.0,00:00.01,2,1,52,2385K,0B,2016K,448,1,sleeping,*0[1],0.00000,0.00000,502,496,58,184,64,1159,461,295,1,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
447,Spotlight,0.0,00:07.70,4,1,463,75M,0B,55M,447,1,sleeping,*0[2000],0.00000,0.00000,502,31683,307,81227,22207,140741,194350,87039,1354,2,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
446,CallHistoryPlugi,0.0,00:00.04,2,1,57,4370K,0B,3328K,446,1,sleeping,0[1],0.00000,0.00000,502,916,73,203,60,2767,511,417,10,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
445,parsecd,0.0,00:01.99,2,1,71,7138K,0B,2000K,445,1,sleeping,0[690],0.00000,0.00000,502,6795,178,6181,1906,46825,11138,27502,334,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
444,com.apple.dock.e,0.0,00:00.64,3,1,187,24M,0B,6736K,444,1,sleeping,*0[281],0.00000,0.00000,502,4444,162,14096,5729,24513,22324,10492,508,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
443,CVMServer,0.0,00:00.03,2,1,47,2369K,0B,1472K,443,1,sleeping,*0[1],0.00000,0.00000,0,458,47,294,106,573,374,130,0,0,0.0,0,0,root,N/A,N/A,N/A,N/A,N/A,N/A
442,useractivityd,0.0,00:00.78,2,1,103,4401K,0B,1856K,442,1,sleeping,0[774],0.00000,0.00000,502,2525,81,5946,3576,20290,22863,18380,57,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
439,ScreenTimeAgent,0.0,00:00.42,2,1,111,6834K,64K,3264K,439,1,sleeping,0[211],0.00000,0.00000,502,2285,137,2080,553,8720,4067,3446,111,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
438,oahd,0.0,00:02.01,2,1,19,1345K,0B,448K,438,1,sleeping,*0[1],0.00000,0.00000,441,1100,57,43422,8831,164561,35118,21427,1,0,0.0,0,0,_oahd,N/A,N/A,N/A,N/A,N/A,N/A
436,com.apple.Safari,0.0,00:01.22,3,1,53,17M,0B,12M,436,1,sleeping,0[1026],0.00000,0.00000,502,5939,96,3201,1192,92461,11244,20302,32,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
435,iconservicesagen,0.0,00:01.90,2,1,95,112M,32K,5744K,435,1,sleeping,0[117],0.00000,0.00000,502,21875,213,8626,4365,103366,7115,10814,874,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
434,IMDPersistenceAg,0.0,00:23.47,2,1,98,23M,0B,20M,434,1,sleeping,0[31],0.00000,0.00000,502,17164,171,63604,3264,824556,713979,174719,374,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
433,QuickLookUIServi,0.0,00:00.38,4,1,146,7058K,0B,2624K,433,1,sleeping,0[1377],0.00000,0.00000,502,3133,126,9253,2357,10857,27327,11015,13,2,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
428,SystemUIServer,0.0,00:02.33,3,1,195,10M,0B,2768K,428,1,sleeping,*0[748],0.00000,0.00000,502,11625,146,44640,11779,40595,89418,31158,76,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
